file_name,paper,paperpack,papercup,can,bottle,pet,plastic,vinyl,cap,label 
GOPR5444.jpg,0,0,0,1,0,0,1,0,1,0,
GOPR5446.jpg,0,1,0,0,0,0,1,0,1,0,
GOPR5447.jpg,0,0,0,1,0,0,1,0,1,1,
GOPR5448.jpg,0,0,0,1,0,0,0,0,1,1,
GOPR5449.jpg,0,0,0,1,0,0,1,0,0,0,
GOPR5450-1.jpg,0,0,0,1,0,0,0,0,0,0,
GOPR5451-1.jpg,0,0,0,1,0,0,0,0,1,1,
GOPR5452-1.jpg,0,0,0,1,0,0,0,0,0,0,
GOPR5453.jpg,0,0,0,1,0,0,0,0,0,0,
GOPR5454.jpg,0,0,0,1,0,0,0,0,0,0,
GOPR5455.jpg,0,0,0,1,0,0,0,0,0,0,
GOPR5456.jpg,0,0,0,0,0,1,0,0,0,0,
GOPR5457.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5458.jpg,0,0,0,0,1,0,0,0,0,1,
GOPR5459.jpg,0,0,0,0,1,0,0,0,0,1,
GOPR5460.jpg,0,0,0,0,1,0,0,0,0,1,
GOPR5461.jpg,0,0,0,0,1,0,0,0,0,1,
GOPR5462.jpg,0,0,0,0,0,0,1,0,1,0,
GOPR5463.jpg,0,0,0,0,1,0,0,0,1,1,
GOPR5464.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5465.jpg,0,0,0,0,1,0,0,0,0,1,
GOPR5466.jpg,0,0,0,0,1,0,0,0,1,1,
GOPR5467.jpg,0,0,1,0,0,0,0,0,1,0,
GOPR5468.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5469.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5470.jpg,0,0,0,0,0,0,1,0,1,0,
GOPR5471.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5472.jpg,0,0,0,1,0,0,0,0,1,0,
GOPR5473.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5474.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5475.jpg,0,0,0,0,0,0,1,0,1,1,
GOPR5476.jpg,0,0,0,0,0,0,1,0,1,1,
GOPR5477.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5478.jpg,0,0,0,0,1,1,0,0,1,0,
GOPR5479.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5480.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5481.jpg,0,0,0,0,1,1,0,0,1,1,
GOPR5482.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5483.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5484.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5485.jpg,0,0,0,0,1,1,1,0,1,0,
GOPR5486.jpg,0,0,0,0,0,0,0,0,1,0,
GOPR5487.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5488.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5489.jpg,0,0,0,0,0,0,1,0,0,0,
GOPR5490.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5491.jpg,0,0,0,0,0,0,0,1,1,0,
GOPR5492.jpg,0,0,0,0,0,1,0,1,0,0,
GOPR5493.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5494.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5495.jpg,0,0,0,0,0,1,0,0,0,1,
GOPR5496.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5497.jpg,0,0,0,0,0,0,1,1,0,0,
GOPR5498.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5499.jpg,0,1,0,0,0,0,0,0,1,0,
GOPR5500.jpg,1,1,0,0,0,0,0,0,0,0,
GOPR5501.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5502.jpg,1,1,0,0,0,0,0,0,0,0,
GOPR5503.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5504.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5505.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5506.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5507.jpg,0,0,1,0,0,0,0,0,0,0,
GOPR5508.jpg,0,0,1,0,0,0,0,0,0,0,
GOPR5509.jpg,0,0,1,0,0,0,0,0,0,0,
GOPR5510.jpg,0,0,1,0,0,0,1,0,1,0,
GOPR5511.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5512.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5513.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5514.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5515.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5516.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5517.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5518.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5519.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5521.jpg,1,1,0,0,0,0,0,0,0,0,
GOPR5522.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5523.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5524.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5526.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5542.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5543.jpg,0,1,0,0,0,0,0,0,1,0,
GOPR5544.jpg,0,1,0,0,0,0,0,0,1,0,
GOPR5545.jpg,1,0,0,0,0,0,0,0,0,0,
GOPR5546.jpg,1,0,0,1,0,0,0,0,0,0,
GOPR5548.jpg,1,0,0,0,0,0,1,0,1,0,
GOPR5549.jpg,0,1,0,0,0,0,0,1,1,0,
GOPR5550.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5551.jpg,0,0,1,0,0,0,0,0,1,0,
GOPR5552.jpg,0,0,1,0,0,0,0,0,0,0,
GOPR5553.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5554.jpg,1,1,0,0,0,0,0,0,0,0,
GOPR5555.jpg,0,0,0,0,1,0,0,0,1,1,
GOPR5556.jpg,0,0,0,0,1,0,0,0,1,1,
GOPR5557.jpg,0,0,0,0,0,0,1,0,1,0,
GOPR5558.jpg,0,0,0,0,1,0,0,0,0,1,
GOPR5559.jpg,0,0,0,0,1,0,0,0,1,1,
GOPR5560.jpg,0,0,0,0,0,1,0,0,1,1,
GOPR5561.jpg,0,0,0,0,1,0,0,0,1,0,
GOPR5562.jpg,0,0,0,0,0,1,0,0,1,0,
GOPR5563.jpg,0,0,0,0,0,1,0,0,0,0,
GOPR5564.jpg,0,0,0,0,1,0,0,0,1,1,
GOPR5565.jpg,0,0,0,0,0,0,1,0,1,1,
GOPR5566.jpg,0,0,0,0,0,0,1,0,1,0,
GOPR5567.jpg,0,0,0,0,0,1,1,0,1,0,
GOPR5568.jpg,0,0,0,0,0,1,0,0,0,0,
GOPR5569.jpg,0,0,0,0,0,0,0,1,1,0,
GOPR5570.jpg,0,1,0,0,0,0,0,0,1,0,
GOPR5571.jpg,1,0,0,0,0,0,0,0,1,0,
GOPR5572.jpg,0,1,0,0,0,0,0,0,0,0,
GOPR5573.jpg,1,0,0,0,0,0,0,1,0,0,
GOPR5574.jpg,1,1,0,0,0,0,0,0,0,0,
GOPR5575.jpg,1,0,1,0,0,0,0,0,0,0,
GOPR5576.jpg,1,0,0,0,0,0,0,1,0,0,
GOPR5577.jpg,1,0,0,0,0,1,0,0,1,0,
GOPR5578.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5579.jpg,0,0,0,0,0,0,0,1,0,0,
GOPR5580.jpg,1,0,0,0,1,0,1,0,1,0,
GOPR5581.jpg,1,0,1,0,1,0,1,1,1,0,
GOPR5582.jpg,1,0,0,0,0,0,1,0,1,0,
GOPR5583.jpg,0,0,0,0,1,0,0,1,1,0,
GOPR5584.jpg,1,0,0,0,1,0,1,0,1,0,
GOPR5585.jpg,1,0,0,0,0,0,1,0,1,0,
GOPR5586.jpg,1,0,0,0,1,0,0,0,0,1,
GOPR5588.jpg,1,0,1,0,0,0,0,0,0,0,
GOPR5589.jpg,1,0,0,0,0,0,1,0,0,0,
GOPR5590.jpg,1,0,0,0,1,0,0,0,0,0,
GOPR5591.jpg,1,0,0,0,0,0,0,1,0,0,
GOPR5592.jpg,1,0,0,1,0,0,0,0,0,0,
GOPR5593.jpg,1,0,0,0,0,0,1,0,0,0,
GOPR5594.jpg,1,0,0,0,1,0,0,0,0,1,
GOPR5595.jpg,1,0,0,0,0,0,0,1,0,0,
GOPR5596.jpg,1,0,0,1,0,0,0,0,0,0,
GOPR5597.jpg,1,0,0,0,0,0,1,1,0,0,
GOPR5598.jpg,1,0,0,0,0,1,0,1,1,0,
